cursive_script_name,num
Sang_ima,23
Sang_jangsa,35
Sang_jasehal,52
Sang_kokkiri,27
Sang_matbol,39
Sang_seolo,183
Sang_seoro,176
Sang_wit,105
Sa_dalmeul,43
Sa_ginbaem,33
Sa_hayeogeum,95
Sa_i,69
Sa_jugeul,59
Sa_mateul,47
Sa_saenggak,116
Sa_saryehal,82
Sa_seuseung,81
Sa_sil,33
Seong_ilul,172
Seong_irul,100
Seong_seongin,79
Seon_bepul,39
Seon_dol,64
Seon_meonjeo,119
Seop_geonneol,37
Seo_jwi,10
Seo_silmari,23
Seul_mureup,19
Seung_nokkeun,34
Se_hae,70
Se_hyeongse,47
Se_ingan,97
Sib_yeol,111
Sig_al,98
Sig_bab,69
Sig_swil,101
Sil_da,88
Sil_ilheul,57
Sim_chajeul,101
Sim_gipeul,160
Sim_maeum,187
Sim_simhal,123
Sin_gwisin,165
Sin_mom,107
Si_boil,96
Si_bol,24
Si_oeppulso,13
Si_ttae,168
Soe_busul,20
Son_budeureoul,4
Son_sonja,63
So_ba,194
So_bureul,47
So_jeogeul,85
So_saejip,17
So_sseul,37
So_sseulsseulhal,42
Ssi_seongssi,69
Suk_ajeossi,52
Su_bilog,165
Su_ddareul,114
Su_deuriul,77
Su_geodul,52
Su_meori,39
Su_moksum,59
Su_moreumjigi,58
Su_mul,125
Su_namu,88
Su_neulgeuni,18
Su_sem,108
Su_son,87
Taeg_jib,73
Tae_byeol,83
Tae_geoui,47
Tal_ppaeaseul,32
Tam_tamnael,29
Tan_samkil,15
Ta_ageo,13
Toe_mulleonal,64
Tong_tonghal,111
Tu_samuchil,16
Ui_mattang,82
Ui_os,85
Ui_tteus,161
Ui_uijihal,31
Ui_uijihal_2,75
Ui_uisimhal,75
Ui_uiwon,45
Ung_gom,48
U_beos,64
U_deoug,41
U_geunsim,101
U_jjag,44
U_oleunjjog,111
U_so,50
U_yeomlyeohal,87
Wan_wanjeonhal,35
Wi_byeoseul,30
Wi_eogeusnal,68
Wi_hal,286
Wi_ileul,111
Wi_matgil,77
Wi_wieom,65
Wi_wilohal,67
Wol_dal,111
Won_eutteum,81
Won_jala,15
Won_seongssi,34
Won_wonhal,115
Yag_gateul,179
Yeog_tto,170
Yeong_chal,31
Yeong_gil,110
Yeong_yeonghwa,71
Yeon_geuleol,184
Yeon_inyeon,94
Yeo_deobul,113
Yeo_gateul,185
Yeo_yeoja,70
Ye_seulgi,38
Yog_hagojahal,174
Yog_yogdoel,59
Yong_eolgul,67
Yong_sseul,97
Yong_yong,186
Yo_duleul,35
Yug_yeoseos,105
Yu_budeuleoul,37
Yu_isseul,263
Yu_malmiameul,107
Yu_ohilyeo,118
Yu_saenggaghal,115
